Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Elizabeth Lenz Elem School,6.0,1412.0,2141.0,9082.241666666667,0.41202639469997226,0.0,9178.490270996255,217.65850181366446,0.0,56.59121047155276
Ella Baker Elementary School,3.0,600.0,945.0,18393.333333333332,0.6113938227467955,0.0,18783.60978245832,759.750191858532,0.0,197.53504988321833
Emerson Elementary School,2.0,647.0,1858.0,3074.0,0.3373999357004169,0.0,3177.392702443944,26.845937509396506,0.0,6.979943752443092
Emilie Ritchen Elementary School,1.0,923.0,1822.0,8994.0,0.6486406437538603,0.0,9597.366922772642,93.96315013499152,0.0,24.430419035097795
Emily Dickinson Elem School,7.0,1428.0,1773.0,1477.857142857143,0.6820358128112655,0.0,1492.5294613859885,80.95805635267872,0.0,21.049094651696468
Endeavour Elementary School,3.0,903.0,1968.0,771.6666666666666,0.34047926944237206,0.0,791.4664721626108,8.995261616211469,0.0,2.338768020214982
English Crossing Elem School,2.0,513.0,1389.0,9600.0,0.37932781765545753,0.0,9911.38230861552,123.88645286915973,0.0,32.21047774598153
Enumclaw High School,1.0,508.0,1564.0,45885.0,0.514833124518093,0.0,48917.278584194006,439.26396669719094,0.0,114.20863134126965
Enumclaw School District 216,13.0,1183.0,2173.0,19649.30769230769,0.006519439047491454,0.0,19743.934736007617,15.218793060754502,0.0,3.9568861957961707
Enumclaw Senior Center,1.0,39.0,749.0,695.0,0.2338347757677766,0.0,751.9589132815485,6.030436686916528,0.0,1.5679135385982974
Esther Bennett Elem School,22.0,1662.0,1952.0,1901.590909090909,0.423941236496564,0.0,1907.4243436531735,176.65513000902297,0.0,45.93033380234597
Eureka Union School District,1.0,68.0,2043.0,129.0,0.09605817907697753,0.0,148.69334714442846,0.19329851817839702,0.0,0.05025761472638323
Evergreen Junior High School,11.0,1608.0,1953.0,1385.0,0.6162253883350384,0.0,1393.782392736633,95.72364425548402,0.0,24.888147506425845
Explorer Middle School,4.0,758.0,2018.0,2381.525,0.11186813301418308,0.0,2421.548649292192,11.385850329704153,0.0,2.96032108572308
Federal Way High School,1.0,8.0,1634.0,38690.0,0.06715521708661838,0.0,41248.55818073716,46.358649303760394,0.0,12.053248818977703
Federal Way Public Schools,18.0,1868.0,2172.0,59901.6238888889,0.5756536553484396,0.0,60108.49022700493,5612.524073869372,0.0,1459.2562592060367
Ferndale School District 502,1.0,1225.0,1564.0,8396.0,0.768636272952466,0.0,8959.994469504094,120.12279438347963,0.0,31.231926539704705
Fernley High School,2.0,171.0,808.0,2087.0,0.20992138564748794,0.0,2158.9361070882364,24.534068265124912,0.0,6.378857748932477
Fidalgo Elementary School,2.0,538.0,947.0,3245.0,0.6169292752806695,0.0,3353.8426292988843,97.0780848972998,0.0,25.24030207329795
Fife School District 417,3.0,154.0,1899.0,792.6666666666666,0.0045260944229275485,0.0,812.9079746415407,0.12706209451533867,0.0,0.033036144573988055
Finn Hill Junior High School,2.0,743.0,1199.0,1072.5,0.6538567886093172,0.0,1112.1030615073196,27.47692443966554,0.0,7.144000354313041
"First Choice, LLC",1.0,61.0,2065.0,634.0,0.08925970055109014,0.0,686.9426596872652,0.8213558333277003,0.0,0.21355251666520209
First Presbyterian Church - Carson City,1.0,209.0,323.0,599.0,0.7434288227559094,0.0,649.6382518872666,33.46875029384093,0.0,8.701875076398641
Florence Drake Elementary School,10.0,1914.0,2155.0,1146.5,0.792093853515191,0.0,1154.6836456425526,84.71130732422881,0.0,22.02493990429949
Forest Ridge School of the Sacred Heart,2.0,157.0,1249.0,2975.55,0.08022475857530645,0.0,3075.8050106376936,8.977440904425427,0.0,2.334134635150611
